timestamp,open,high,low,close,volume
2026-02-20 09:30:00,682.3200073242188,682.6799926757812,681.739990234375,681.97998046875,2607015
2026-02-20 09:31:00,681.9500122070312,682.4400024414062,681.8800048828125,682.1500244140625,373402
2026-02-20 09:32:00,682.2000122070312,683.0,682.1962280273438,682.8699951171875,313103
2026-02-20 09:33:00,682.9000244140625,683.4600219726562,682.7999877929688,683.22998046875,248265
2026-02-20 09:34:00,683.219970703125,683.469970703125,682.989990234375,683.3200073242188,241323
2026-02-20 09:35:00,683.3300170898438,684.0700073242188,682.97998046875,683.969970703125,331989
2026-02-20 09:36:00,684.0,684.22998046875,683.760009765625,684.0700073242188,239971
2026-02-20 09:37:00,684.0999755859375,684.530029296875,683.72998046875,683.739990234375,536087
2026-02-20 09:38:00,683.7899780273438,684.10498046875,683.5499877929688,683.8400268554688,247578
2026-02-20 09:39:00,683.8900146484375,683.969970703125,683.31201171875,683.8599853515625,224079
2026-02-20 09:40:00,683.885009765625,684.3400268554688,683.780029296875,683.9000244140625,228463
2026-02-20 09:41:00,683.9000244140625,683.969970703125,683.5499877929688,683.7650146484375,141631
2026-02-20 09:42:00,683.780029296875,685.3499755859375,683.6699829101562,685.0549926757812,294453
2026-02-20 09:43:00,685.0800170898438,685.0999755859375,684.5700073242188,684.6099853515625,183676
2026-02-20 09:44:00,684.6199951171875,684.7899780273438,684.5499877929688,684.739990234375,116754
2026-02-20 09:45:00,684.77001953125,684.9000244140625,684.5700073242188,684.6500244140625,108262
2026-02-20 09:46:00,684.7000122070312,685.0999755859375,684.5537719726562,684.989990234375,241883
2026-02-20 09:47:00,685.0,685.1599731445312,684.4400024414062,684.5800170898438,128515
2026-02-20 09:48:00,684.5800170898438,684.75,684.22998046875,684.25,114008
2026-02-20 09:49:00,684.219970703125,684.47998046875,684.010009765625,684.1099853515625,128385
2026-02-20 09:50:00,684.0999755859375,684.2899780273438,683.6699829101562,684.0570068359375,142813
2026-02-20 09:51:00,684.0499877929688,684.1099853515625,683.4500122070312,683.5599975585938,249333
2026-02-20 09:52:00,683.5499877929688,683.989990234375,683.530029296875,683.6799926757812,185677
2026-02-20 09:53:00,683.6900024414062,684.4199829101562,683.5399780273438,684.1199951171875,209441
2026-02-20 09:54:00,684.1199951171875,684.1649780273438,683.6699829101562,684.10498046875,383937
2026-02-20 09:55:00,684.1500244140625,684.2999877929688,683.8200073242188,684.260009765625,168976
2026-02-20 09:56:00,684.260009765625,684.3699951171875,683.9400024414062,684.1799926757812,180404
2026-02-20 09:57:00,684.1799926757812,684.3499755859375,683.8400268554688,684.2999877929688,203102
2026-02-20 09:58:00,684.3099975585938,684.5999755859375,684.1400146484375,684.5250244140625,160517
2026-02-20 09:59:00,684.5250244140625,685.0399780273438,684.2999877929688,684.8499755859375,218734
2026-02-20 10:00:00,684.8900146484375,685.5650024414062,684.75,685.5,198262
2026-02-20 10:01:00,685.52001953125,689.3099975585938,685.2000122070312,688.9600219726562,1576493
2026-02-20 10:02:00,689.0,689.4000244140625,687.1699829101562,687.6699829101562,1108190
2026-02-20 10:03:00,687.6099853515625,687.6900024414062,686.27001953125,686.7100219726562,516486
2026-02-20 10:04:00,686.6799926757812,687.5800170898438,686.5399780273438,686.9260864257812,394171
2026-02-20 10:05:00,686.9400024414062,687.0499877929688,685.1300048828125,685.280029296875,718334
2026-02-20 10:06:00,685.3499755859375,685.9600219726562,684.5499877929688,684.8099975585938,399428
2026-02-20 10:07:00,684.760009765625,685.760009765625,684.6599731445312,685.4400024414062,388835
2026-02-20 10:08:00,685.4650268554688,687.1300048828125,685.3400268554688,687.10498046875,405267
2026-02-20 10:09:00,687.0800170898438,687.1799926757812,686.3900146484375,687.0900268554688,409421
2026-02-20 10:10:00,687.1199951171875,688.0,686.9600219726562,687.8499755859375,474002
2026-02-20 10:11:00,687.8800048828125,687.8900146484375,686.6699829101562,686.780029296875,293523
2026-02-20 10:12:00,686.8200073242188,687.02001953125,686.3400268554688,686.9500122070312,249016
2026-02-20 10:13:00,686.9199829101562,686.9500122070312,685.6599731445312,685.739990234375,277392
2026-02-20 10:14:00,685.72998046875,685.9600219726562,685.3400268554688,685.4199829101562,205995
2026-02-20 10:15:00,685.4400024414062,685.719970703125,685.0900268554688,685.3200073242188,235709
2026-02-20 10:16:00,685.3400268554688,685.3499755859375,684.1900024414062,684.280029296875,386208
2026-02-20 10:17:00,684.3400268554688,686.5549926757812,684.3300170898438,686.52001953125,390915
